Date,Feature_N
11/1/2018,0.308343175
11/1/2018,0.310489313
11/1/2018,0.868320001
11/1/2018,0.278766526
11/2/2018,0.877365654
11/2/2018,0.164186412
11/2/2018,0.071083658
11/2/2018,0.125278614
11/2/2018,0.384603501
11/3/2018,0.334576009
11/3/2018,0.511311974
11/3/2018,0.536515747
11/3/2018,0.381448209
11/4/2018,0.100525414
11/4/2018,0.059575589
11/4/2018,0.631785735
11/4/2018,0.899678029
11/5/2018,0.237750532
11/5/2018,0.770957653
11/5/2018,0.638045283
11/5/2018,0.639662212
11/6/2018,0.797901514
11/6/2018,0.937076174
11/6/2018,0.188451285
11/6/2018,0.542068216
11/7/2018,0.204450544
11/7/2018,0.635160151
11/7/2018,0.828080638
11/7/2018,0.426618441
